Year,av_annual_t,av_5_annual_t
1750,NaN,NaN
1751,0.1722916666666667,NaN
1752,NaN,NaN
1753,NaN,NaN
1754,0.7565,NaN
1755,0.6489166666666667,NaN
1756,0.42866666666666675,0.23775
1757,0.4296666666666667,0.09775
1758,-0.12516666666666668,-0.035208333333333335
1759,0.06920833333333334,0.0017083333333333488
1760,0.029333333333333312,-0.03266666666666668
1761,0.5618333333333334,0.054875000000000014
1762,0.12575000000000003,0.06029166666666669
1763,0.17879166666666668,-0.024374999999999997
1764,0.13179166666666667,-0.15345833333333334
1765,0.17074999999999999,-0.169875
1766,0.23570833333333338,-0.17008333333333336
1767,-0.05233333333333332,-0.17470833333333335
1768,-0.29120833333333335,-0.2427916666666667
1769,-0.08395833333333332,-0.28095833333333337
1770,-0.206,-0.21637499999999998
1771,0.040958333333333326,-0.08812500000000001
1772,0.17725000000000002,0.00437499999999999
1773,0.3757916666666667,0.102875
1774,0.5261249999999998,0.11783333333333333
1775,0.23233333333333328,0.041249999999999974
1776,0.08083333333333333,-0.06404166666666665
1777,-0.07675,-0.08187500000000003
1778,-0.002625000000000016,-0.056999999999999995
1779,0.21208333333333332,-0.12820833333333334
1780,0.6930416666666668,-0.10970833333333335
1781,0.22808333333333333,-0.023791666666666673
1782,0.29891666666666666,-0.015416666666666681
1783,0.2180416666666667,-0.008249999999999988
1784,0.3288333333333333,0.14708333333333332
1785,0.2297916666666667,0.15233333333333335
1786,0.3845,0.1824583333333333
1787,0.2680416666666667,0.13833333333333334
1788,0.29812500000000003,0.10520833333333333
1789,0.18137499999999998,0.07112499999999998
1790,0.14691666666666664,0.07791666666666668
1791,0.23191666666666666,0.12095833333333335
1792,0.26004166666666667,0.17700000000000002
1793,0.5097499999999999,0.23541666666666664
1794,0.4983333333333333,0.24679166666666666
1795,0.44025,0.29537499999999994
1796,0.391875,0.23687499999999997
1797,0.4635416666666667,0.14862499999999998
1798,0.26366666666666666,0.10266666666666668
1799,0.13445833333333335,0.11354166666666665
1800,0.14870833333333333,0.10379166666666666
1801,0.45208333333333334,0.12595833333333337
1802,0.33508333333333334,0.2140416666666667
1803,0.285625,0.23616666666666672
1804,0.36508333333333337,0.17979166666666668
1805,0.2838333333333333,0.14025
1806,0.22658333333333336,0.1155
1807,0.17466666666666666,0.021083333333333325
1808,0.23679166666666673,-0.10133333333333332
1809,-0.16558333333333328,-0.22383333333333333
1810,-0.309,-0.331875
1811,-0.3815,-0.38666666666666666
1812,-0.2692083333333333,-0.36387499999999995
1813,-0.09654166666666668,-0.3524583333333333
1814,-0.07483333333333332,-0.38854166666666673
1815,-0.13845833333333335,-0.3981666666666666
1816,-0.36333333333333334,-0.3466666666666667
1817,-0.28929166666666667,-0.3617083333333333
1818,0.08908333333333335,-0.3485416666666667
1819,-0.2652916666666667,-0.2709166666666667
1820,-0.1125,-0.22870833333333337
1821,-0.06708333333333334,-0.277375
1822,-0.038833333333333345,-0.1799166666666667
1823,-0.15291666666666667,-0.13770833333333338
1824,0.07283333333333335,-0.100125
1825,-0.013500000000000012,-0.046458333333333324
1826,0.12612500000000001,-0.02629166666666666
1827,0.2315,-0.06679166666666667
1828,-0.022124999999999995,-0.05970833333333334
1829,-0.08808333333333333,-0.10720833333333334
1830,0.1575,-0.1865416666666667
1831,-0.10899999999999999,-0.20204166666666665
1832,-0.2862916666666666,-0.18974999999999997
1833,-0.14283333333333334,-0.28241666666666665
1834,0.045000000000000005,-0.31583333333333335
1835,-0.33370833333333333,-0.32908333333333334
1836,-0.29066666666666663,-0.3245833333333333
1837,-0.3794583333333334,-0.3522083333333333
1838,-0.20362499999999994,-0.3405
1839,-0.09875000000000002,-0.3283749999999999
1840,-0.26325,-0.26549999999999996
1841,-0.22825000000000004,-0.2397916666666667
1842,-0.08516666666666667,-0.25254166666666666
1843,-0.12216666666666666,-0.22295833333333334
1844,-0.22866666666666666,-0.16470833333333332
1845,-0.12237500000000003,-0.15754166666666666
1846,0.11179166666666666,-0.15162499999999998
1847,-0.04195833333333334,-0.11345833333333329
1848,-0.05433333333333332,-0.09916666666666667
1849,-0.08604166666666664,-0.09949999999999999
1850,-0.1095,-0.0725
1851,0.06245833333333332,-0.06604166666666667
1852,0.03945833333333334,-0.05220833333333333
1853,-0.051333333333333335,-0.04779166666666667
1854,-0.01158333333333333,-0.08558333333333334
1855,-0.052666666666666674,-0.12616666666666668
1856,-0.12791666666666665,-0.1270416666666667
1857,-0.16187500000000002,-0.139
1858,-0.052791666666666674,-0.158
1859,-0.05004166666666668,-0.18437499999999998
1860,-0.143375,-0.2004166666666666
1861,-0.24379166666666666,-0.21441666666666667
1862,-0.21512499999999998,-0.22341666666666668
1863,-0.10016666666666667,-0.211875
1864,-0.11375,-0.16945833333333335
1865,-0.04779166666666667,-0.12104166666666664
1866,0.021833333333333333,-0.09437500000000003
1867,0.03395833333333332,-0.05962499999999999
1868,0.015291666666666662,-0.05683333333333334
1869,0.02324999999999999,-0.07658333333333334
1870,-0.08187500000000002,-0.10491666666666667
1871,-0.120625,-0.11775000000000001
1872,-0.09770833333333333,-0.12791666666666668
1873,-0.05358333333333335,-0.14775000000000002
1874,-0.027750000000000007,-0.1505
1875,-0.18558333333333332,-0.11395833333333337
1876,-0.13612500000000002,-0.060458333333333336
1877,0.05491666666666667,-0.07666666666666667
1878,0.17858333333333334,-0.06870833333333333
1879,-0.11820833333333332,-0.050916666666666666
1880,-0.1265,-0.09720833333333334
1881,-0.049708333333333334,-0.17333333333333334
1882,-0.16808333333333328,-0.20762500000000003
1883,-0.22362499999999996,-0.22783333333333336
1884,-0.3120833333333333,-0.2612916666666667
1885,-0.23970833333333333,-0.27370833333333333
1886,-0.22954166666666662,-0.2520833333333334
1887,-0.23099999999999998,-0.20862499999999998
1888,-0.12154166666666667,-0.2133333333333333
1889,-0.08991666666666666,-0.21162499999999998
1890,-0.25933333333333336,-0.20929166666666665
1891,-0.2194583333333333,-0.216875
1892,-0.22966666666666669,-0.23200000000000007
1893,-0.17245833333333335,-0.20604166666666665
1894,-0.15695833333333334,-0.183875
1895,-0.13358333333333336,-0.15208333333333332
1896,-0.11462499999999999,-0.1366666666666667
1897,-0.07258333333333333,-0.10695833333333336
1898,-0.10333333333333335,-0.06525000000000002
1899,-0.014708333333333332,-0.03441666666666668
1900,0.06479166666666666,-0.03258333333333333
1901,0.04029166666666666,-0.04691666666666667
1902,-0.0715,-0.08437500000000002
1903,-0.17354166666666668,-0.11670833333333334
1904,-0.19754166666666664,-0.13875
1905,-0.09716666666666668,-0.16425000000000003
1906,-0.078375,-0.16191666666666668
1907,-0.20624999999999996,-0.15025
1908,-0.1597916666666667,-0.15574999999999997
1909,-0.13420833333333335,-0.167125
1910,-0.12741666666666665,-0.15658333333333332
1911,-0.14304166666666665,-0.14175000000000001
1912,-0.15754166666666666,-0.10479166666666666
1913,-0.07883333333333335,-0.07295833333333333
1914,0.05208333333333334,-0.06854166666666667
1915,0.034124999999999996,-0.08258333333333333
1916,-0.12404166666666666,-0.10345833333333336
1917,-0.2253333333333333,-0.12533333333333332
1918,-0.17441666666666666,-0.14166666666666666
1919,-0.04704166666666667,-0.12312499999999997
1920,-0.05058333333333334,-0.09050000000000001
1921,-0.02941666666666666,-0.06420833333333334
1922,-0.05808333333333332,-0.05383333333333334
1923,-0.043583333333333335,-0.03625000000000001
1924,-0.00583333333333333,-0.02108333333333333
1925,0.029875000000000002,-0.011458333333333334
1926,0.04220833333333333,-0.009083333333333332
1927,-0.003583333333333331,-0.03220833333333333
1928,-0.025583333333333333,-0.0385
1929,-0.120125,-0.02937500000000001
1930,-0.00845833333333333,-0.02320833333333333
1931,0.081125,-0.036125
1932,0.026125000000000006,-0.012666666666666668
1933,-0.09033333333333332,-0.022250000000000002
1934,-0.005583333333333333,-0.04433333333333333
1935,-0.05391666666666667,-0.03308333333333334
1936,-0.025958333333333333,0.008374999999999999
1937,0.081,0.023749999999999993
1938,0.11779166666666664,0.055041666666666655
1939,0.07483333333333335,0.07591666666666667
1940,0.102875,0.06845833333333333
1941,0.07920833333333334,0.06408333333333334
1942,0.045625,0.06716666666666668
1943,0.09700000000000002,0.050749999999999997
1944,0.09329166666666665,0.041874999999999996
1945,0.021583333333333333,0.048499999999999995
1946,0.03554166666666666,0.04154166666666667
1947,0.07849999999999999,0.01641666666666667
1948,0.06104166666666666,-0.00875
1949,-0.0365,-0.013875000000000005
1950,-0.11000000000000003,-0.015875
1951,0.00883333333333333,-0.013291666666666669
1952,0.070125,-0.005458333333333333
1953,0.07345833333333333,0.01479166666666667
1954,0.0015833333333333335,-0.01595833333333333
1955,-0.01245833333333333,-0.02304166666666667
1956,-0.1465,-0.023500000000000004
1957,0.030583333333333337,-0.015416666666666667
1958,0.06283333333333334,-0.015833333333333335
1959,0.028749999999999987,0.029541666666666664
1960,-0.015583333333333338,0.030791666666666676
1961,0.08166666666666665,0.03304166666666667
1962,0.034,0.011291666666666665
1963,0.07670833333333334,0.001791666666666666
1964,-0.07533333333333334,-0.015375
1965,-0.06041666666666667,-0.01879166666666667
1966,-0.0030833333333333338,-0.04716666666666667
1967,0.015625,-0.03275000000000001
1968,-0.07104166666666667,-0.012041666666666668
1969,-0.006541666666666669,-0.018749999999999996
1970,0.03758333333333332,-0.018958333333333337
1971,-0.04379166666666667,0.013541666666666667
1972,0.011124999999999998,0.012458333333333335
1973,0.1025,0.012166666666666666
1974,-0.0018750000000000017,0.006291666666666665
1975,0.035583333333333335,0.027916666666666673
1976,-0.068375,0.015791666666666666
1977,0.11666666666666668,0.03145833333333333
1978,0.036,0.07045833333333333
1979,0.07208333333333333,0.12712500000000002
1980,0.23487500000000006,0.12079166666666667
1981,0.21687500000000004,0.1537916666666667
1982,0.08895833333333332,0.15645833333333337
1983,0.19316666666666663,0.12404166666666668
1984,0.07395833333333333,0.10695833333333332
1985,0.06029166666666667,0.12920833333333334
1986,0.13212500000000002,0.14754166666666668
1987,0.20712499999999998,0.1749166666666667
1988,0.2809583333333333,0.22608333333333339
1989,0.22237499999999996,0.26379166666666665
1990,0.31425000000000003,0.251875
1991,0.3205416666666667,0.22220833333333334
1992,0.1462083333333333,0.22962499999999997
1993,0.1320416666666667,0.23608333333333334
1994,0.2555833333333334,0.22124999999999995
1995,0.34504166666666664,0.258875
1996,0.24650000000000002,0.32320833333333326
1997,0.32779166666666676,0.3420000000000001
1998,0.4577083333333334,0.33829166666666666
1999,0.3475000000000001,0.3718749999999999
2000,0.32708333333333334,0.40362499999999996
2001,0.42029166666666673,0.4029583333333333
2002,0.48804166666666665,0.4137916666666667
2003,0.4513749999999999,0.4535833333333333
2004,0.39720833333333333,0.4740416666666667
2005,0.5231666666666667,0.4839166666666666
2006,0.5229166666666667,0.48633333333333323
2007,0.5392083333333333,0.5119166666666666
2008,0.46716666666666673,0.5155
2009,0.523625,0.5102083333333333
2010,0.53775,0.5000833333333333
2011,0.49304166666666666,0.50875
2012,0.48808333333333337,0.5125833333333333
2013,0.5105000000000001,0.5360833333333334
2014,0.5416666666666666,0.5828749999999999
2015,0.6544583333333335,0.6133333333333334
2016,0.7295833333333334,0.6344166666666667
2017,0.6395833333333333,0.6672916666666667
2018,0.6161666666666666,0.6812916666666666
2019,0.7065,0.66675
2020,0.7232916666666668,0.6710416666666666
2021,0.6553749999999999,0.7105
2022,0.659125,NaN
2023,0.8159999999999998,NaN
2024,NaN,NaN
